# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-12 11:33:50 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06933500 Gasconade River at Jerome, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06933500
#            TS   parameter     statistic     Description
#         75905       00065     30800     Gage height, feet (Observation at 08:00 AM)
#         75906       00060     00003     Discharge, cubic feet per second (Mean)
#         75907       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	75905_00065_30800	75905_00065_30800_cd	75906_00060_00003	75906_00060_00003_cd
USGS	06933500	2009-05-10	13.55	A	20700	A
USGS	06933500	2009-05-11	7.91	A	9750	A
USGS	06933500	2009-05-12	6.48	A	7120	A
USGS	06933500	2009-05-13	5.71	A	5830	A
USGS	06933500	2009-05-14	5.27	A	5090	A
USGS	06933500	2009-05-15	4.86	A	4860	A
USGS	06933500	2009-05-16	5.93	A	6240	A
USGS	06933500	2009-05-17	5.66	A	6200	A
USGS	06933500	2009-05-18	5.98	A	6290	A
USGS	06933500	2009-05-19	5.43	A	5320	A
USGS	06933500	2009-05-20	4.84	A	4380	A
USGS	06933500	2009-05-21	4.41	A	3700	A
USGS	06933500	2009-05-22	4.09	A	3230	A
USGS	06933500	2009-05-23	3.86	A	2920	A
USGS	06933500	2009-05-24	3.72	A	2740	A
USGS	06933500	2009-05-25	3.65	A	2790	A
USGS	06933500	2009-05-26	3.88	A	2970	A
USGS	06933500	2009-05-27	3.76	A	3160	A
USGS	06933500	2009-05-28	5.35	A	4850	A
USGS	06933500	2009-05-29	4.24	A	3400	A
USGS	06933500	2009-05-30	3.89	A	2930	A
USGS	06933500	2009-05-31	3.65	A	2600	A
USGS	06933500	2009-06-01	3.41	A	2300	A
USGS	06933500	2009-06-02	3.21	A	2070	A
USGS	06933500	2009-06-03	3.43	A	2820	A
USGS	06933500	2009-06-04	3.73	A	2760	A
USGS	06933500	2009-06-05	3.63	A	2590	A
USGS	06933500	2009-06-06	3.45	A	2370	A
USGS	06933500	2009-06-07	3.30	A	2170	A
USGS	06933500	2009-06-08	3.13	A	1980	A
USGS	06933500	2009-06-09	2.98	A	1970	A
USGS	06933500	2009-06-10	3.69	A	3270	A
USGS	06933500	2009-06-11	5.38	A	5120	A
USGS	06933500	2009-06-12	5.24	A	5700	A
USGS	06933500	2009-06-13	5.54	A	5340	A
USGS	06933500	2009-06-14	4.49	A	3780	A
USGS	06933500	2009-06-15	4.08	A	10100	A
USGS	06933500	2009-06-16	8.43	A	16600	A
USGS	06933500	2009-06-17	11.32	A	17800	A
USGS	06933500	2009-06-18	9.09	A	12400	A
USGS	06933500	2009-06-19	7.07	A	8100	A
USGS	06933500	2009-06-20	5.73	A	5770	A
USGS	06933500	2009-06-21	4.92	A	4490	A
USGS	06933500	2009-06-22	4.39	A	3670	A
USGS	06933500	2009-06-23	4.03	A	3130	A
USGS	06933500	2009-06-24	3.80	A	2830	A
USGS	06933500	2009-06-25	3.60	A	2530	A
USGS	06933500	2009-06-26	3.38	A	2270	A
USGS	06933500	2009-06-27	3.18	A	2040	A
USGS	06933500	2009-06-28	3.06	A	1900	A
USGS	06933500	2009-06-29	2.91	A	1750	A
USGS	06933500	2009-06-30	2.77	A	1610	A
USGS	06933500	2009-07-01	2.66	A	1510	A
USGS	06933500	2009-07-02	2.56	A	1410	A
USGS	06933500	2009-07-03	2.47	A	1320	A
USGS	06933500	2009-07-04	2.42	A	1280	A
USGS	06933500	2009-07-05	2.37	A	1240	A
USGS	06933500	2009-07-06	2.32	A	1190	A
USGS	06933500	2009-07-07	2.27	A	1150	A
USGS	06933500	2009-07-08	2.21	A	1100	A
USGS	06933500	2009-07-09	2.18	A	1070	A
USGS	06933500	2009-07-10	2.14	A	1050	A
USGS	06933500	2009-07-11	2.13	A	1050	A
USGS	06933500	2009-07-12	2.73	A	1400	A
USGS	06933500	2009-07-13	2.23	A	1110	A
USGS	06933500	2009-07-14	2.16	A	1090	A
USGS	06933500	2009-07-15	2.22	A	1110	A
USGS	06933500	2009-07-16	2.18	A	1120	A
USGS	06933500	2009-07-17	2.29	A	1150	A
USGS	06933500	2009-07-18	2.15	A	1050	A
USGS	06933500	2009-07-19	2.09	A	1000	A
USGS	06933500	2009-07-20	2.05	A	969	A
USGS	06933500	2009-07-21	2.04	A	973	A
USGS	06933500	2009-07-22	2.04	A	964	A
USGS	06933500	2009-07-23	2.01	A	931	A
USGS	06933500	2009-07-24	1.96	A	898	A
USGS	06933500	2009-07-25	1.93	A	886	A
USGS	06933500	2009-07-26	1.97	A	890	A
USGS	06933500	2009-07-27	1.91	A	860	A
USGS	06933500	2009-07-28	1.88	A	859	A
USGS	06933500	2009-07-29	1.96	A	894	A
USGS	06933500	2009-07-30	1.93	A	869	A
USGS	06933500	2009-07-31	1.88	A	837	A
USGS	06933500	2009-08-01	1.84	A	822	A
USGS	06933500	2009-08-02	1.89	A	850	A
USGS	06933500	2009-08-03	1.86	A	829	A
USGS	06933500	2009-08-04	1.83	A	810	A
USGS	06933500	2009-08-05	1.85	A	815	A
USGS	06933500	2009-08-06	1.81	A	793	A
USGS	06933500	2009-08-07	1.78	A	766	A
USGS	06933500	2009-08-08	1.75	A	748	A
USGS	06933500	2009-08-09	1.73	A	733	A
USGS	06933500	2009-08-10	1.72	A	731	A
USGS	06933500	2009-08-11	1.74	A	742	A
USGS	06933500	2009-08-12	1.73	A	740	A
USGS	06933500	2009-08-13	1.74	A	739	A
USGS	06933500	2009-08-14	1.71	A	714	A
USGS	06933500	2009-08-15	1.69	A	700	A
USGS	06933500	2009-08-16	1.66	A	683	A
USGS	06933500	2009-08-17	1.64	A	676	A
USGS	06933500	2009-08-18	1.68	A	711	A
USGS	06933500	2009-08-19	1.77	A	756	A
USGS	06933500	2009-08-20	1.85	A	838	A
USGS	06933500	2009-08-21	1.96	A	892	A
USGS	06933500	2009-08-22	1.92	A	866	A
USGS	06933500	2009-08-23	1.86	A	823	A
USGS	06933500	2009-08-24	1.83	A	798	A
USGS	06933500	2009-08-25	1.77	A	759	A
USGS	06933500	2009-08-26	1.73	A	729	A
USGS	06933500	2009-08-27	1.70	A	711	A
USGS	06933500	2009-08-28	1.68	A	703	A
USGS	06933500	2009-08-29	1.68	A	702	A
USGS	06933500	2009-08-30	1.66	A	676	A
USGS	06933500	2009-08-31	1.61	A	653	A
USGS	06933500	2009-09-01	1.61	A	652	A
USGS	06933500	2009-09-02	1.60	A	642	A
USGS	06933500	2009-09-03	1.59	A	636	A
USGS	06933500	2009-09-04	1.59	A	636	A
USGS	06933500	2009-09-05	5.06	A	2830	A
USGS	06933500	2009-09-06	2.13	A	1030	A
USGS	06933500	2009-09-07	1.97	A	900	A
USGS	06933500	2009-09-08	1.86	A	828	A
USGS	06933500	2009-09-09	1.80	A	798	A
USGS	06933500	2009-09-10	1.77	A	770	A
USGS	06933500	2009-09-11	1.82	A	822	A
USGS	06933500	2009-09-12	1.90	A	845	A
USGS	06933500	2009-09-13	1.78	A	766	A
USGS	06933500	2009-09-14	1.73	A	726	A
USGS	06933500	2009-09-15	1.69	A	702	A
USGS	06933500	2009-09-16	1.66	A	680	A
USGS	06933500	2009-09-17	1.63	A	661	A
USGS	06933500	2009-09-18	1.61	A	650	A
USGS	06933500	2009-09-19	1.60	A	642	A
USGS	06933500	2009-09-20	1.65	A	771	A
USGS	06933500	2009-09-21	2.10	A	977	A
USGS	06933500	2009-09-22	2.90	A	1630	A
USGS	06933500	2009-09-23	2.69	A	1960	A
USGS	06933500	2009-09-24	3.45	A	2410	A
USGS	06933500	2009-09-25	3.48	A	2310	A
USGS	06933500	2009-09-26	3.16	A	2030	A
USGS	06933500	2009-09-27	2.98	A	1800	A
USGS	06933500	2009-09-28	2.75	A	1580	A
USGS	06933500	2009-09-29	2.54	A	1380	A
USGS	06933500	2009-09-30	2.37	A	1220	A
USGS	06933500	2009-10-01	2.23	A	1110	A
USGS	06933500	2009-10-02	2.14	A	1040	A
USGS	06933500	2009-10-03	2.04	A	961	A
USGS	06933500	2009-10-04	1.97	A	902	A
USGS	06933500	2009-10-05	1.90	A	855	A
USGS	06933500	2009-10-06	1.86	A	840	A
USGS	06933500	2009-10-07	1.85	A	823	A
USGS	06933500	2009-10-08	1.88	A	1690	A
USGS	06933500	2009-10-09	11.00	A	17100	A
USGS	06933500	2009-10-10	11.97	A	20300	A
USGS	06933500	2009-10-11	11.20	A	18700	A
USGS	06933500	2009-10-12	11.61	A	16600	A
USGS	06933500	2009-10-13	6.49	A	7100	A
USGS	06933500	2009-10-14	6.20	A	6040	A
USGS	06933500	2009-10-15	5.73	A	5740	A
USGS	06933500	2009-10-16	5.25	A	5050	A
USGS	06933500	2009-10-17	4.92	A	4540	A
USGS	06933500	2009-10-18	4.72	A	4210	A
USGS	06933500	2009-10-19	4.38	A	3640	A
USGS	06933500	2009-10-20	4.05	A	3180	A
USGS	06933500	2009-10-21	3.89	A	2960	A
USGS	06933500	2009-10-22	3.73	A	2780	A
USGS	06933500	2009-10-23	4.09	A	3190	A
USGS	06933500	2009-10-24	4.05	A	3550	A
USGS	06933500	2009-10-25	4.69	A	4370	A
USGS	06933500	2009-10-26	5.34	A	5180	A
USGS	06933500	2009-10-27	5.07	A	4910	A
USGS	06933500	2009-10-28	5.01	A	4750	A
USGS	06933500	2009-10-29	4.89	A	6350	A
USGS	06933500	2009-10-30	16.59	A	31600	A
USGS	06933500	2009-10-31	18.30	A	41100	A
USGS	06933500	2009-11-01	17.67	A	37000	A
USGS	06933500	2009-11-02	17.70	A	31500	A
USGS	06933500	2009-11-03	7.77	A	9710	A
USGS	06933500	2009-11-04	6.40	A	6980	A
USGS	06933500	2009-11-05	5.60	A	5630	A
USGS	06933500	2009-11-06	5.05	A	4760	A
USGS	06933500	2009-11-07	4.65	A	4130	A
USGS	06933500	2009-11-08	4.33	A	3620	A
USGS	06933500	2009-11-09	4.09	A	3260	A
USGS	06933500	2009-11-10	3.91	A	3060	A
USGS	06933500	2009-11-11	3.83	A	2930	A
USGS	06933500	2009-11-12	3.66	A	2700	A
USGS	06933500	2009-11-13	3.44	A	2430	A
USGS	06933500	2009-11-14	3.31	A	2260	A
USGS	06933500	2009-11-15	3.21	A	2150	A
USGS	06933500	2009-11-16	3.58	A	3140	A
USGS	06933500	2009-11-17	6.33	A	9750	A
USGS	06933500	2009-11-18	8.30	A	11700	A
USGS	06933500	2009-11-19	8.28	A	10700	A
USGS	06933500	2009-11-20	7.32	A	8730	A
USGS	06933500	2009-11-21	6.42	A	7040	A
USGS	06933500	2009-11-22	5.71	A	5810	A
USGS	06933500	2009-11-23	5.16	A	4930	A
USGS	06933500	2009-11-24	4.73	A	4280	A
USGS	06933500	2009-11-25	4.42	A	3770	A
USGS	06933500	2009-11-26	4.16	A	3390	A
USGS	06933500	2009-11-27	3.94	A	3100	A
USGS	06933500	2009-11-28	3.86	A	2980	A
USGS	06933500	2009-11-29	3.75	A	2830	A
USGS	06933500	2009-11-30	3.62	A	2640	A
USGS	06933500	2009-12-01	3.44	A	2420	A
USGS	06933500	2009-12-02	3.32	A	2270	A
USGS	06933500	2009-12-03	3.21	A	2140	A
USGS	06933500	2009-12-04	3.08	A	1990	A
USGS	06933500	2009-12-05	2.97	A	1860	A
USGS	06933500	2009-12-06	2.88	A	1760	A
USGS	06933500	2009-12-07	2.80	A	1690	A
USGS	06933500	2009-12-08	2.73	A	1660	A
USGS	06933500	2009-12-09	2.79	A	1690	A
USGS	06933500	2009-12-10	2.74	A	1630	A
USGS	06933500	2009-12-11	2.67	A	1560	A
USGS	06933500	2009-12-12	2.62	A	1520	A
USGS	06933500	2009-12-13	2.68	A	1610	A
USGS	06933500	2009-12-14	2.77	A	1680	A
USGS	06933500	2009-12-15	2.76	A	1650	A
USGS	06933500	2009-12-16	2.72	A	1610	A
USGS	06933500	2009-12-17	2.69	A	1590	A
USGS	06933500	2009-12-18	2.68	A	1570	A
USGS	06933500	2009-12-19	2.66	A	1550	A
USGS	06933500	2009-12-20	2.60	A	1490	A
USGS	06933500	2009-12-21	2.56	A	1450	A
USGS	06933500	2009-12-22	2.53	A	1410	A
USGS	06933500	2009-12-23	2.51	A	1410	A
USGS	06933500	2009-12-24	2.55	A	1550	A
USGS	06933500	2009-12-25	3.57	A	2660	A
USGS	06933500	2009-12-26	4.45	A	3690	A
USGS	06933500	2009-12-27	4.59	A	4140	A
USGS	06933500	2009-12-28	4.74	A	4220	A
USGS	06933500	2009-12-29	4.32	A	3590	A
USGS	06933500	2009-12-30	3.97	A	3110	A
USGS	06933500	2009-12-31	3.78	A	2860	A
USGS	06933500	2010-01-01	3.59	A	2590	A
USGS	06933500	2010-01-02	3.41	A	2360	A
USGS	06933500	2010-01-03	3.24	A	2170	A
USGS	06933500	2010-01-04	3.10	A	2020	A
USGS	06933500	2010-01-05	2.97	A	1840	A
USGS	06933500	2010-01-06	2.85	A	1710	A
USGS	06933500	2010-01-07	2.80	A	1690	A
USGS	06933500	2010-01-08	2.77	A	1650	A
USGS	06933500	2010-01-09	2.61	A	1510	A
USGS	06933500	2010-01-10	2.54	A	1450	A
USGS	06933500	2010-01-11	2.48	A	1390	A
USGS	06933500	2010-01-12	2.51	A	1430	A
USGS	06933500	2010-01-13	2.48	A	1370	A
USGS	06933500	2010-01-14	2.41	A	1340	A
USGS	06933500	2010-01-15	2.45	A	1340	A
USGS	06933500	2010-01-16	2.44	A	1320	A
USGS	06933500	2010-01-17	2.42	A	1320	A
USGS	06933500	2010-01-18	2.42	A	1320	A
USGS	06933500	2010-01-19	2.42	A	1310	A
USGS	06933500	2010-01-20	2.48	A	1380	A
USGS	06933500	2010-01-21	2.57	A	1750	A
USGS	06933500	2010-01-22	3.57	A	2890	A
USGS	06933500	2010-01-23	5.79	A	6150	A
USGS	06933500	2010-01-24	9.27	A	13400	A
USGS	06933500	2010-01-25	11.75	A	19800	A
USGS	06933500	2010-01-26	11.22	A	18800	A
USGS	06933500	2010-01-27	9.66	A	13000	A
USGS	06933500	2010-01-28	6.89	A	7830	A
USGS	06933500	2010-01-29	5.90	A	6150	A
USGS	06933500	2010-01-30	5.36	A	5240	A
USGS	06933500	2010-01-31	4.91	A	4540	A
USGS	06933500	2010-02-01	4.56	A	3980	A
USGS	06933500	2010-02-02	4.28	A	3560	A
USGS	06933500	2010-02-03	4.06	A	3260	A
USGS	06933500	2010-02-04	3.92	A	3070	A
USGS	06933500	2010-02-05	3.92	A	3270	A
USGS	06933500	2010-02-06	4.50	A	4200	A
USGS	06933500	2010-02-07	5.78	A	6130	A
USGS	06933500	2010-02-08	6.17	A	6710	A
USGS	06933500	2010-02-09	5.88	A	6150	A
USGS	06933500	2010-02-10	5.47	A	5470	A
USGS	06933500	2010-02-11	5.11	A	4880	A
USGS	06933500	2010-02-12	4.78	A	4340	A
USGS	06933500	2010-02-13	4.52	A	3950	A
USGS	06933500	2010-02-14	4.36	A	3710	A
USGS	06933500	2010-02-15	4.24	A	3530	A
USGS	06933500	2010-02-16	4.12	A	3350	A
USGS	06933500	2010-02-17	3.99	A	3150	A
USGS	06933500	2010-02-18	3.86	A	2990	A
USGS	06933500	2010-02-19	3.81	A	2900	A
USGS	06933500	2010-02-20	3.68	A	2750	A
USGS	06933500	2010-02-21	3.64	A	2800	A
USGS	06933500	2010-02-22	4.33	A	3690	A
USGS	06933500	2010-02-23	4.53	A	4030	A
USGS	06933500	2010-02-24	4.63	A	4210	A
USGS	06933500	2010-02-25	4.61	A	4050	A
USGS	06933500	2010-02-26	4.31	A	3600	A
USGS	06933500	2010-02-27	4.05	A	3240	A
USGS	06933500	2010-02-28	3.86	A	2970	A
USGS	06933500	2010-03-01	3.75	A	2830	A
USGS	06933500	2010-03-02	3.64	A	2680	A
USGS	06933500	2010-03-03	3.51	A	2510	A
USGS	06933500	2010-03-04	3.40	A	2330	A
USGS	06933500	2010-03-05	3.21	A	2140	A
USGS	06933500	2010-03-06	3.14	A	2040	A
USGS	06933500	2010-03-07	3.03	A	1950	A
USGS	06933500	2010-03-08	2.98	A	1880	A
USGS	06933500	2010-03-09	2.96	A	1860	A
USGS	06933500	2010-03-10	2.95	A	1830	A
USGS	06933500	2010-03-11	2.97	A	1890	A
USGS	06933500	2010-03-12	2.97	A	1910	A
USGS	06933500	2010-03-13	3.03	A	1970	A
USGS	06933500	2010-03-14	3.12	A	2060	A
USGS	06933500	2010-03-15	3.13	A	2060	A
USGS	06933500	2010-03-16	3.07	A	1970	A
USGS	06933500	2010-03-17	3.00	A	1910	A
USGS	06933500	2010-03-18	2.96	A	1860	A
USGS	06933500	2010-03-19	2.92	A	1820	A
USGS	06933500	2010-03-20	2.88	A	1790	A
USGS	06933500	2010-03-21	2.89	A	1840	A
USGS	06933500	2010-03-22	3.13	A	2110	A
USGS	06933500	2010-03-23	3.31	A	2350	A
USGS	06933500	2010-03-24	4.14	A	3480	A
USGS	06933500	2010-03-25	4.57	A	4690	A
USGS	06933500	2010-03-26	6.11	A	8290	A
USGS	06933500	2010-03-27	9.13	A	13600	A
USGS	06933500	2010-03-28	9.89	A	13600	A
USGS	06933500	2010-03-29	7.84	A	9980	A
USGS	06933500	2010-03-30	7.21	A	8560	A
USGS	06933500	2010-03-31	6.45	A	7110	A
USGS	06933500	2010-04-01	5.78	A	5950	A
USGS	06933500	2010-04-02	5.25	A	5200	A
USGS	06933500	2010-04-03	7.89	A	9530	A
USGS	06933500	2010-04-04	9.50	A	13500	A
USGS	06933500	2010-04-05	9.22	A	12700	A
USGS	06933500	2010-04-06	7.54	A	9100	A
USGS	06933500	2010-04-07	6.41	A	7050	A
USGS	06933500	2010-04-08	5.73	A	5860	A
USGS	06933500	2010-04-09	5.20	A	4990	A
USGS	06933500	2010-04-10	4.77	A	4310	A
USGS	06933500	2010-04-11	4.44	A	3790	A
USGS	06933500	2010-04-12	4.15	A	3370	A
USGS	06933500	2010-04-13	3.93	A	3060	A
USGS	06933500	2010-04-14	3.78	A	2850	A
USGS	06933500	2010-04-15	3.61	A	2630	A
USGS	06933500	2010-04-16	3.46	A	2450	A
USGS	06933500	2010-04-17	3.35	A	2300	A
USGS	06933500	2010-04-18	3.23	A	2160	A
USGS	06933500	2010-04-19	3.12	A	2040	A
USGS	06933500	2010-04-20	3.03	A	1940	A
USGS	06933500	2010-04-21	2.96	A	1860	A
USGS	06933500	2010-04-22	2.91	A	1810	A
USGS	06933500	2010-04-23	2.97	A	1860	A
USGS	06933500	2010-04-24	2.92	A	1910	A
USGS	06933500	2010-04-25	3.63	A	2700	A
USGS	06933500	2010-04-26	4.09	A	3400	A
USGS	06933500	2010-04-27	4.23	A	3520	A
USGS	06933500	2010-04-28	4.06	A	3190	A
USGS	06933500	2010-04-29	3.70	A	2720	A
USGS	06933500	2010-04-30	3.44	A	2410	A
USGS	06933500	2010-05-01	3.34	A	2290	A
USGS	06933500	2010-05-02	3.36	A	2310	A
USGS	06933500	2010-05-03	3.28	A	2240	A
USGS	06933500	2010-05-04	3.36	A	2310	A
USGS	06933500	2010-05-05	3.22	A	2140	A
USGS	06933500	2010-05-06	3.06	A	1960	A
USGS	06933500	2010-05-07	2.93	A	1820	A
USGS	06933500	2010-05-08	2.82	A	1700	A
USGS	06933500	2010-05-09	2.70	A	1570	A
USGS	06933500	2010-05-10	2.64	A	1540	A
USGS	06933500	2010-05-11	2.65	A	1540	A
USGS	06933500	2010-05-12	2.79	A	2510	A
USGS	06933500	2010-05-13	4.79	A	4220	A
USGS	06933500	2010-05-14	4.62	A	5740	A
USGS	06933500	2010-05-15	6.42	A	8710	A
USGS	06933500	2010-05-16	8.82	A	14100	A
USGS	06933500	2010-05-17	11.47	A	19300	A
USGS	06933500	2010-05-18	10.89	A	17100	A
USGS	06933500	2010-05-19	9.96	A	14400	A
USGS	06933500	2010-05-20	9.99	A	15400	A
USGS	06933500	2010-05-21	11.90	A	21600	A
USGS	06933500	2010-05-22	12.85	A	22200	A
USGS	06933500	2010-05-23	11.35	A	17200	A
USGS	06933500	2010-05-24	7.76	A	9520	A
USGS	06933500	2010-05-25	6.38	A	6930	A
USGS	06933500	2010-05-26	5.57	A	5620	A
USGS	06933500	2010-05-27	5.28	A	5160	A
USGS	06933500	2010-05-28	5.10	A	4760	A
USGS	06933500	2010-05-29	4.54	A	3910	A
USGS	06933500	2010-05-30	4.22	A	3360	A
USGS	06933500	2010-05-31	3.93	A	2950	A
USGS	06933500	2010-06-01	3.75	A	2680	A
USGS	06933500	2010-06-02	3.55	A	2450	A
USGS	06933500	2010-06-03	4.38	A	3350	A
USGS	06933500	2010-06-04	6.87	A	6020	A
USGS	06933500	2010-06-05	6.16	A	6070	A
USGS	06933500	2010-06-06	4.64	A	3930	A
USGS	06933500	2010-06-07	3.92	A	2890	A
USGS	06933500	2010-06-08	3.55	A	2690	A
USGS	06933500	2010-06-09	5.57	A	4660	A
USGS	06933500	2010-06-10	3.93	A	2880	A
USGS	06933500	2010-06-11	3.41	A	2690	A
USGS	06933500	2010-06-12	4.17	A	3230	A
USGS	06933500	2010-06-13	3.42	A	2250	A
USGS	06933500	2010-06-14	3.16	A	1960	A
USGS	06933500	2010-06-15	3.00	A	1840	A
USGS	06933500	2010-06-16	2.96	A	1740	A
USGS	06933500	2010-06-17	2.80	A	1580	A
USGS	06933500	2010-06-18	2.70	A	1490	A
USGS	06933500	2010-06-19	2.64	A	1420	A
USGS	06933500	2010-06-20	2.57	A	1360	A
USGS	06933500	2010-06-21	2.49	A	1290	A
USGS	06933500	2010-06-22	2.47	A	1260	A
USGS	06933500	2010-06-23	2.36	A	1170	A
USGS	06933500	2010-06-24	2.28	A	1110	A
USGS	06933500	2010-06-25	2.22	A	1050	A
USGS	06933500	2010-06-26	2.15	A	1000	A
USGS	06933500	2010-06-27	2.11	A	970	A
USGS	06933500	2010-06-28	2.12	A	977	A
USGS	06933500	2010-06-29	2.05	A	931	A
USGS	06933500	2010-06-30	2.01	A	890	A
USGS	06933500	2010-07-01	1.97	A	867	A
USGS	06933500	2010-07-02	1.93	A	846	A
USGS	06933500	2010-07-03	1.91	A	827	A
USGS	06933500	2010-07-04	1.89	A	814	A
USGS	06933500	2010-07-05	1.88	A	815	A
USGS	06933500	2010-07-06	1.87	A	819	A
